Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.6 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249207 templates=33
EncounterTemplate selected room=room_boss_approach_large_c03_06 encounter=boss template=edge_basics display=Edge Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_connector_junction_medium_c03_02 encounter=arena_room_connector_junction_medium_c03_02 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,connector,junction,medium
EncounterTemplate selected room=room_connector_narrow_medium_c03_04 encounter=arena_room_connector_narrow_medium_c03_04 template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 7, "links": 6 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_connector_junction_medium_c03_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c03_06" }
FPS_LOG t=21.3 fps=57 ms=17.5 dc=4834 obj=5700 prim=146939 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=21.6 fps=57 ms=17.5 dc=4835 obj=5710 prim=149887 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=21.9 fps=57 ms=17.5 dc=4843 obj=5713 prim=150945 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=22.1 fps=52 ms=19.2 dc=4844 obj=5711 prim=150391 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=22.4 fps=52 ms=19.2 dc=4837 obj=5697 prim=150033 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=22.6 fps=52 ms=19.2 dc=4837 obj=5694 prim=149467 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=22.9 fps=52 ms=19.2 dc=4836 obj=5705 prim=154493 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=23.1 fps=57 ms=17.5 dc=4836 obj=5706 prim=154925 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=23.4 fps=57 ms=17.5 dc=4836 obj=5718 prim=156573 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=23.6 fps=57 ms=17.5 dc=4838 obj=5727 prim=157899 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=23.9 fps=57 ms=17.5 dc=4836 obj=5716 prim=151407 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=24.2 fps=55 ms=18.2 dc=4837 obj=5714 prim=150983 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=24.4 fps=55 ms=18.2 dc=4838 obj=5710 prim=149811 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=24.7 fps=55 ms=18.2 dc=4837 obj=5712 prim=149482 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=24.9 fps=55 ms=18.2 dc=4837 obj=5704 prim=144898 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=25.2 fps=56 ms=17.9 dc=4837 obj=5716 prim=151022 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=25.5 fps=56 ms=17.9 dc=4838 obj=5713 prim=148307 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=25.7 fps=56 ms=17.9 dc=4838 obj=5701 prim=140769 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=26.0 fps=56 ms=17.9 dc=4836 obj=5705 prim=144384 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=26.3 fps=57 ms=17.5 dc=4838 obj=5706 prim=145421 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=26.5 fps=57 ms=17.5 dc=4838 obj=5711 prim=147215 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=26.8 fps=57 ms=17.5 dc=4848 obj=5718 prim=146985 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=27.0 fps=52 ms=19.2 dc=4848 obj=5721 prim=148159 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=27.3 fps=52 ms=19.2 dc=4848 obj=5724 prim=147589 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=27.6 fps=52 ms=19.2 dc=4848 obj=5729 prim=147919 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=27.8 fps=52 ms=19.2 dc=4848 obj=5728 prim=148341 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=28.1 fps=62 ms=16.1 dc=4843 obj=5723 prim=148155 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=28.3 fps=62 ms=16.1 dc=4845 obj=5729 prim=153437 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=28.6 fps=62 ms=16.1 dc=4845 obj=5729 prim=153437 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=28.9 fps=62 ms=16.1 dc=4835 obj=5719 prim=153337 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=29.1 fps=78 ms=12.8 dc=4843 obj=5725 prim=139280 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=29.4 fps=78 ms=12.8 dc=4845 obj=5720 prim=137970 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=29.6 fps=78 ms=12.8 dc=4841 obj=5709 prim=136616 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=29.9 fps=78 ms=12.8 dc=4843 obj=5711 prim=136620 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=30.1 fps=72 ms=13.9 dc=4845 obj=5713 prim=136628 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=30.4 fps=72 ms=13.9 dc=4841 obj=5709 prim=136616 rooms=4 [connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
