Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.8 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0
EncounterTemplate run_seed=1777247517 templates=33
EncounterTemplate selected room=room_boss_approach_large_c01_08 encounter=boss template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_chokepoint_gate_medium_c_02 encounter=arena_room_chokepoint_gate_medium_c_02 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,combat,chokepoint,medium
EncounterTemplate selected room=room_combat_skirmish_small_c01_04 encounter=arena_room_combat_skirmish_small_c01_04 template=phase_basics display=Phase Basics repeated=false stage=unused_compatible tags=arena,combat,small
EncounterTemplate selected room=room_connector_narrow_medium_c01_06 encounter=arena_room_connector_narrow_medium_c01_06 template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 9, "links": 8 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "combat", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_chokepoint_gate_medium_c_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05", "connection_room_07"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c01_08" }
FPS_LOG t=24.8 fps=159 ms=6.3 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=25.0 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=25.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=25.5 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=25.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=26.0 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=26.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=26.5 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=26.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=27.0 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=27.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=27.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=27.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=28.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=28.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=28.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=28.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=29.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=29.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=29.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=29.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=30.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=30.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=30.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=30.9 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=31.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=31.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=31.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=31.9 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=32.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=32.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=32.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=32.9 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=33.2 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=33.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=33.7 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=33.9 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=34.2 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=34.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=34.7 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=34.9 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=35.2 fps=148 ms=6.8 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=35.5 fps=148 ms=6.8 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=35.7 fps=148 ms=6.8 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=36.0 fps=148 ms=6.8 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=36.2 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=36.5 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=36.7 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=37.0 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=37.2 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=37.5 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=37.7 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=38.0 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=38.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=38.5 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=38.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=39.0 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=39.3 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=39.5 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=39.8 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
